ID,GSM1489980,GSM1489981,GSM1489982,GSM1489983,GSM1489984,GSM1489985,GSM1489986,GSM1489987,GSM1489988,GSM1489989,GSM1489990,GSM1489991,GSM1489992,GSM1489993,GSM1489994,GSM1489995,GSM1489996,GSM1489997,GSM1489998,GSM1489999,GSM1490000,GSM1490001,GSM1490002,GSM1490003,GSM1490005,GSM1490006,GSM1490007,GSM1490008,GSM1490009,GSM1490010,GSM1490011,GSM1490012,GSM1490013,GSM1490014,GSM1490015
DHDH,0.456451416,0,0.575310409,0,0.416854054,-0.462486118,0.312364489,-0.075034432,0.195241675,0,-0.20185864,0,-0.472739875,0.283661634,0.478430241,0.561495602,0.24175106,-0.184083581,-0.256625742,-0.188562915,0.300941169,0.017262068,0.072311744,0.315238655,-0.365582436,-0.414887935,-0.368013173,-0.134377137,0.33196944,0.086995333,0,-0.411546469,0.158178478,0.530359447,0.350992501
T,0.345973641,0,0,-0.167429,-0.010720246,-1.325050116,-0.161900863,0.143479988,-0.041841753,-0.411224484,-0.903695524,0,0.145553678,0.368434191,0,0,-0.060508028,0.214494899,-0.389941007,-0.036813848,-0.861924529,-0.094201304,0.001790091,0.417935759,-0.159565732,0.493213594,-0.47837314,0.262775958,0.343521148,-0.324335486,0,0.205105722,0.257522434,0.475822628,0.39666149
IL2RG,-0.443726838,-1.528444648,-0.004545921,-1.976109982,-1.758863091,-1.851618528,-1.47379899,-0.998054683,-1.336378336,-1.690442324,-0.30924347,-0.882323325,-0.29619804,-0.440659553,-1.050665379,-1.139660954,-1.32434845,-1.73579669,-2.163786888,-1.938041568,-0.962229192,-1.281394243,-1.580600977,-2.412032604,-1.595106125,-1.844078183,-1.041900754,-1.114288807,-1.460704088,-1.996613264,-2.099959135,-1.939413428,-2.777007341,-1.9658494,-2.611969948
IL2RA,0.24260965,0.39296788,2.615339994,-0.713831604,0.384736389,0.546315134,-0.220781788,0.067877911,0.141607001,0.642518222,1.130223751,0.40791437,0.102364287,3.259773016,0.364618301,0.250688314,-0.192426637,-0.214345753,0.503719926,-0.208045825,1.804968119,-0.421873719,-0.018606719,0.078142881,-0.033147648,0.030475819,0.428221613,0.099548079,0.067482166,-0.139995843,0.079960942,-0.324958116,-0.494747341,-0.784333646,-1.317233443
IL2RB,-0.214140415,0.047824003,2.777527094,0.084489673,0.326362431,0.055069648,-0.150019661,-0.468640149,-0.440812916,0.630856574,0.780956566,-0.474581182,-0.01345057,2.379524231,-0.08621522,-0.277211338,-0.267362684,-0.807857394,-0.161163911,-0.313113034,0.544972003,0.253904015,0.236059427,0.665621996,0.431115001,-0.05057298,0,-0.009760966,-0.569875181,-0.370102257,0.254389614,-0.304284364,0,0.572577655,0
PEX26,0.115532257,0.047521379,-0.333431304,-0.634077072,-0.375500768,0.78534323,0.07305558,-0.334979594,-0.729059279,-0.767574608,0.066075414,0.017093077,-0.00705619,-0.555760443,-0.099252075,0.401735008,-0.296810865,-0.271189898,-0.212802172,-0.027062329,0.471707255,-0.761977971,-0.738374233,-0.921685338,-0.321873337,0.098059557,-0.028273603,0.160330653,-0.56442219,-0.16845803,-0.204735011,0.260750681,-0.862979054,-0.627812028,-0.124469683
DHX8,0.170024067,-0.06687966,-0.013637688,-0.068779893,0.600634277,-2.271337986,0.293027371,0.660612941,0.699561298,-0.562960684,-0.217769772,-3.417603254,0.070196256,0.733274758,0,0.965839326,0.252003282,0.407949775,-0.051379189,-0.379042894,-0.9990924,0.322306663,0.745049596,0.07920064,0.108757183,0.332916975,-0.948019326,1.133344531,0.585263073,-0.739889205,0.357564837,0.61178565,0.279488623,0.306173742,0
PEX5L,0.626695871,0.235870048,0.462999791,1.551303744,0.757992744,-2.688319206,0.456650317,0.977133155,-0.784087837,-0.495579362,-0.670463979,-1.406494856,0.556379259,1.111293197,0.262304068,0.703978419,0.297271013,1.07041347,-0.124746941,0.567117989,-1.081297755,0.926820993,-0.17693679,0.65805912,0.935372472,0.816455603,-0.923414767,0.021491537,1.17881608,-0.618312359,0.126170442,0.66637969,1.254967213,0.42871961,1.259693027
CACYBP,0.396509618,-0.473859966,-0.987768471,-0.449121624,-0.870934784,-0.546313584,-0.861492574,-0.200869992,-0.37403807,0.889656246,-1.403859973,-0.856106222,-0.441725105,-0.981955945,-0.252078861,0.235988185,-0.754068434,-1.51987052,-0.096310273,-0.487263888,-2.745644331,-0.917352855,-0.90487498,-0.052505586,-1.032045722,-0.959409058,-0.082176715,-0.068199299,-0.086341865,-0.508283734,-0.530449629,-1.355788231,-1.86261642,-1.087425947,-0.908437848
PEX16,-0.045443404,-0.315927446,0.399880081,0.188753471,0.404638737,-0.381455153,0.263075143,-0.148162559,0.113442138,-0.414166391,-0.079465315,0.417337477,0.023148187,1.096141577,-0.084699899,-0.182919025,0.119411916,0.417414606,-0.087680176,0.20038943,0.230395108,0.369764745,0.332445443,0.543629944,-0.28284055,0.423933774,-0.33002165,0.28761059,0.222239435,0.251789868,0.144364327,0.353769511,0.177766427,0.785026908,-0.707413614
